window_seconds,modality,fold,class,precision,recall,f1-score,support
6.0,accel,1,upper_body,0.4240184757505774,0.33651026392961875,0.37522992029429797,2728.0
6.0,accel,1,accuracy,0.48718794677224236,0.48718794677224236,0.48718794677224236,0.48718794677224236
6.0,accel,1,macro avg,0.5455080360428829,0.5367864464302815,0.5390301470095268,9093.0
6.0,accel,1,weighted avg,0.496891718056905,0.48718794677224236,0.48949011206599474,9093.0
6.0,accel,2,locomotion,0.8363384188626907,0.6707452725250278,0.7444444444444445,899.0
6.0,accel,2,stairs,0.5245033112582781,0.7719298245614035,0.6246056782334385,513.0
6.0,accel,2,static,0.4470426409903714,0.26993355481727577,0.33661315380631796,1204.0
6.0,accel,2,eat_drink,0.43042168674698794,0.601177955405974,0.5016675443215728,2377.0
6.0,accel,2,sports,0.816468253968254,0.5976761074800291,0.690146750524109,1377.0
6.0,accel,2,upper_body,0.39612403100775195,0.37285662167092304,0.3841383198646871,2741.0
6.0,accel,2,accuracy,0.5046646910328175,0.5046646910328175,0.5046646910328175,0.5046646910328175
6.0,accel,2,macro avg,0.5751497238057223,0.5473865560767722,0.5469359818657616,9111.0
6.0,accel,2,weighted avg,0.5259952673789472,0.5046646910328175,0.5038612082916585,9111.0
6.0,accel,3,locomotion,0.8859447004608295,0.856347438752784,0.8708946772366931,898.0
6.0,accel,3,stairs,0.6647058823529411,0.7566964285714286,0.7077244258872651,448.0
6.0,accel,3,static,0.3572192513368984,0.2906875543951262,0.32053742802303264,1149.0
6.0,accel,3,eat_drink,0.5053724928366762,0.5418586789554531,0.5229799851742031,2604.0
